Division,Violent Crime,Property Crime,Drug Offences,DV-Related,Other Crimes,Total Crimes,IRSD Score,IRSD Decile,IRSDA Score,IRSDA Decile,IER Score,IER Decile,IEO Score,IEO Decile,Usual Resident Population,Violent_DV_Crime,log_vdv_crime,scaled_log_vdv_violence
Calamvale,247.6381015894187,1707.513615649661,127.70923641213739,43.069912192953204,461.2648660664666,2587.195731910637,1021.849161,6.0,1023.883619,8.0,1027.281129,6.0,1035.884726,8.0,17994.0,290.7080137823719,5.675753349181848,-1.0532010972691719
Calliope,233.5170055101653,357.02071062131864,120.08360250807524,58.331749952498576,627.0188105643169,1395.9718791563746,965.9911357,3.0,924.0524056,2.0,1015.165959,5.0,871.9945561,1.0,5263.0,291.84875546266386,5.679656282783425,-1.0488768867220275
Caloundra,777.0041064095698,3388.859132297804,954.6509551865738,208.17711123013746,2253.793965363328,7582.485270487413,969.8471334,3.5,947.7640682,3.5,951.3250515,2.5,945.3248362,3.5,11202.0,985.1812176397073,6.893840128424834,0.2963641876775114
Cambooya,205.30973451327432,635.3982300884956,62.83185840707965,43.80530973451328,258.40707964601773,1205.7522123893805,987.1206901,4.0,941.9515201,3.0,996.3678251,4.0,925.0413435,3.0,2260.0,249.1150442477876,5.521920989004437,-1.2236378974500846
Canungra,439.4150417827298,2277.158774373259,197.7715877437326,104.45682451253482,1182.4512534818941,4201.25348189415,1039.785451,7.0,996.5008339,6.0,1072.321259,8.0,969.4756247,5.0,1436.0,543.8718662952647,6.300550659305982,-0.3609640791516035
Capalaba,476.3915120542162,2549.7166981446508,672.0364403955116,136.76258193534053,1387.1236529274524,5222.030885457172,1007.68046,5.0,978.9230944,5.0,1018.026747,5.0,954.6070216,4.0,18002.0,613.1540939895567,6.420245864069791,-0.22834914901976708
Capella,313.1416837782341,493.8398357289528,121.1498973305955,50.30800821355236,697.1252566735113,1675.564681724846,966.072139,3.0,921.7311797,2.0,964.7662761,3.0,872.7630051,1.0,974.0,363.44969199178644,5.898388522696259,-0.8065350086922477
Cardwell,578.030303030303,1101.5151515151515,416.6666666666667,153.78787878787878,1659.0909090909092,3909.090909090909,867.8245107,1.0,849.6708172,1.0,884.4286359,1.0,863.3152106,1.0,1320.0,731.8181818181818,6.59689762448523,-0.032629855908682656
Carina,293.0296283610207,3044.870697037164,215.6191128617914,77.75303990409317,679.7396814523034,4311.012159616373,1057.151001,8.0,1056.956402,9.0,1011.745969,5.0,1070.698949,9.0,11678.0,370.78266826511384,5.918309458453388,-0.7844638362605248
Carseldine,443.67383334984646,3198.949767165362,398.8903200237788,93.72832656296443,956.009115228376,5091.251362330328,1067.13261,9.0,1059.066108,9.0,1061.489492,8.0,1051.794702,9.0,10093.0,537.4021599128109,6.288605790047603,-0.37419826013036206
Charleville,549.1310160427807,1069.51871657754,484.62566844919786,116.31016042780749,1519.7192513368984,3739.304812834225,943.4001396,2.0,922.9809374,2.0,926.5199083,1.0,922.3100646,3.0,2992.0,665.4411764705883,6.5019518783653965,-0.13782390702244807
Charters Towers,2168.0937359170794,3726.453357368184,1162.6858945470933,520.5047318611987,4899.95493465525,12477.692654348806,864.2751139,1.0,858.1647408,1.0,854.4566764,1.0,859.4917949,1.0,2219.0,2688.598467778278,7.8971471929703245,1.4079667496015915
Cherbourg,2935.510887772194,3926.2981574539363,1128.9782244556116,1437.1859296482412,5397.822445561139,14825.795644891123,498.1020393,1.0,659.6108474,1.0,560.7790086,1.0,813.6216604,1.0,1194.0,4372.696817420436,8.383363884115644,1.9466649593787047
Childers,908.4423305588584,2976.218787158145,745.5410225921521,214.0309155766944,3306.7776456599286,8151.010701545779,858.6049707,1.0,849.8860956,1.0,890.289699,1.0,852.1963038,1.0,1682.0,1122.473246135553,7.024180278378391,0.4407730628164276
Chinchilla,351.86757215619696,1606.5365025466892,809.564233163554,80.36219581211091,1346.2082625919638,4194.538766270515,954.34794,3.0,926.832126,2.0,963.1090146,2.0,903.2746278,2.0,7068.0,432.2297679683079,6.071268229220973,-0.6149949194528568
Clermont,254.4037940379404,510.5013550135501,164.63414634146343,41.327913279132794,578.5907859078591,1549.4579945799458,990.951981,4.0,943.0617206,3.0,987.7481691,3.0,880.4595213,1.0,2952.0,295.7317073170732,5.692828388176343,-1.0342830035349941
