Localities,IRSD Score,IRSD Decile,IRSDA Score,IRSDA Decile,IER Score,IER Decile,IEO Score,IEO Decile,Usual Resident Population
Eumundi,1048.677972,8,1032.999592,8,1080.411998,9,1029.125724,8,2504
Farleigh,1053.890688,8,997.7127558,6,1072.7429,8,926.6036572,3,814
Ferny Grove,1064.25322,9,1053.355459,9,1059.830665,8,1047.472315,9,5871
Finch Hatton,956.5963293,3,910.7195309,2,958.0589943,2,887.3552418,2,531
Forsayth,968.6141982,3,972.9793894,5,960.9581962,2,973.2179666,5,107
Fortitude Valley,1036.608556,7,1062.861914,9,858.0728044,1,1092.944182,10,9708
Gatton,880.6714178,1,879.6297974,1,918.7199027,1,879.4802272,1,7851
Gayndah,870.3649088,1,856.0770662,1,913.1292632,1,857.8719273,1,1949
Georgetown,1017.842016,6,966.1966979,4,991.2651017,4,931.1142919,3,254
Gin Gin,833.2232473,1,825.1059738,1,887.4739429,1,834.2701678,1,1139
Giru,899.1426866,1,865.434863,1,939.2693851,2,842.2997833,1,387
Gladstone,942.3000931,3,942.4881828,4,904.4544519,4,925.8935058,4,9787
Glenden,1036.430103,7,993.8386915,6,960.8997114,2,948.3677626,4,477
Goodna,845.6963663,1,854.0414996,1,900.1619585,1,865.397629,1,10391
Goombungee,943.8745954,2,898.9794088,2,969.2761223,3,877.2902014,1,1066
Goomeri,849.3237729,1,840.025894,1,882.7488986,1,907.0962845,2,677
Goondiwindi,989.1264691,4,952.9523506,4,987.9168445,3,926.7316489,3,6230
Goovigen,1020.785919,6,989.374337,6,1052.626175,7,972.305216,5,349
Gordonvale,986.3215741,4,948.6159927,3,1004.1164,4,921.2126284,3,6944
Gracemere,951.3094048,2,914.1325732,2,986.8700146,3,879.2233834,1,12023
Greenvale,881.945804,1,881.2484223,1,954.6933296,2,876.2397247,1,192
Gympie,876.525441,1,855.9802112,1,906.0491668,1,869.2383955,1,11355
Halifax,871.3629655,1,833.0874166,1,912.2257415,1,814.8542543,1,477
Harrisville,994.037596,4,946.1854786,3,1024.803659,5,909.5036143,2,667
Helidon,929.9462729,2,893.3391936,2,959.5565331,2,867.816717,1,1130
Hendra,1104.983298,10,1142.701375,10,1109.376117,10,1126.899302,10,4914
Herberton,907.4135501,1,879.3443665,1,905.4715699,1,881.6288229,1,895
Highfields,1080.463553,9,1047.081586,9,1087.674393,9,1015.846505,7,8568
Holland Park,1046.474662,7,1070.377557,9,1019.543826,5,1093.094843,10,8671
Home Hill,943.3929181,2,898.6754748,2,953.6396605,2,867.6408702,1,2876
Hope Vale,637.7226755,1,726.0692715,1,641.2548559,1,817.1812613,1,1004
Howard,838.5473435,1,818.8739024,1,903.5564255,1,816.9727961,1,1394
Hughenden,942.9530094,2,914.7569405,2,915.2368539,1,901.1561832,2,1113
Hungerford,1000.256251,5,952.4003603,4,1001.694221,4,853.6263114,1,19
Ilfracombe,978.8895564,4,971.2469002,5,982.239066,3,975.0088942,5,310
Imbil,920.9082148,2,889.7515245,2,965.6089884,3,890.3641433,2,1071
Inala,697.3341255,1,770.7803713,1,800.8897462,1,846.2603892,1,15273
Indooroopilly,1063.395683,9,1097.038615,10,985.6193209,3,1146.067311,10,13622
Ingham,911.7934042,2,878.892568,1,902.5644247,1,858.1724489,1,4455
Inglewood,849.8962328,1,832.8273698,1,903.9684138,1,820.3484229,1,936
Injune,952.4126942,2,928.0965469,3,964.1156728,2,916.9216032,3,429
Innisfail,777.3286848,1,811.3817993,1,784.3830747,1,832.6707182,1,1091
Ipswich,845.1866809,1,873.0455483,1,823.7261614,1,916.7198671,3,2468
Isisford,954.7617037,3,926.9882994,2,963.0759869,2,891.1164702,2,218
Jandowae,861.5811514,1,851.0080239,1,918.6323434,1,853.2109384,1,1004
Jericho,1003.391857,5,993.8060852,6,1010.413743,5,1019.690518,8,229
Jimboomba,1014.538014,5,980.1237178,5,1084.09034,9,924.7251863,3,7423
Jondaryan,954.7264764,3,924.2037469,2,996.5707524,4,911.7847116,2,414
Julia Creek,997.845833,5,963.1171334,4,977.2811736,3,936.1564974,3,549
Jundah,987.8804064,4,958.7108689,4,1002.187628,4,879.1358506,1,131
Kalbar,973.6482889,3,928.8631734,3,1001.348132,4,900.7081223,2,1246
Karana Downs,1074.403342,9,1054.267011,9,1089.655303,9,1052.408682,9,3800
Karumba,902.7521783,1,872.6410511,1,896.0300921,1,814.0758623,1,487
Kenilworth,998.8507547,5,943.7978566,3,1009.228592,5,922.8679592,3,604
Kilcoy,915.8623756,2,882.3123845,1,961.0915824,2,848.8330159,1,1996
Kilkivan,911.0493503,2,884.3162514,1,945.3041041,2,899.355061,2,689
Killarney,922.6855003,2,879.2811534,1,947.1368555,2,846.1014873,1,918
Kingaroy,924.3029182,2,900.6323051,2,937.2954821,2,899.0359115,2,10266
Kirwan,972.0708213,3,944.2886013,3,978.7975521,3,935.2248515,3,20780
Kowanyama,528.1234095,1,686.2507854,1,509.3813028,1,765.2425096,1,1079
Kumbia,942.5770111,2,886.6597399,1,954.8898952,2,894.5654125,2,301
Kuranda,944.4529466,2,938.7890523,3,941.0075892,2,979.1996121,5,3273
Kynuna,1033.854012,7,992.237823,6,1098.752489,10,920.4895184,3,52
Laidley,845.311051,1,833.8964696,1,903.4632286,1,837.6177224,1,3809
Laura,868.6804368,1,934.4862985,3,776.1771646,1,894.2283191,2,133
Leyburn,850.4059052,1,838.5378174,1,942.0156904,2,874.7350175,1,566
Lockhart River,621.5972942,1,743.6210056,1,582.3854785,1,793.7255873,1,640
Logan Central,682.7798061,1,752.0025861,1,795.4125605,1,794.6561882,1,6210
Yarrabilba,923.1146031,2,904.6784877,2,959.8533781,2,904.576215,2,10240
Loganholme,999.5600943,5,963.0316944,4,1015.349653,5,939.3500257,4,6764
Longreach,1008.383234,5,979.9838613,5,966.276563,3,971.6376741,5,3124
Lowood,858.4724593,1,843.1646858,1,942.3283007,2,836.3462706,1,4082
Mackay,907.4618386,1,905.7194235,2,837.1374362,1,928.1607862,3,4026
Mackay Northern Beaches,953.8952336,3,917.5881356,2,935.4848597,2,904.4764268,2,6194
Macleay Island,844.7888033,1,843.7755393,1,882.9737075,1,888.6004335,2,3193
Malanda,934.9746227,2,910.6911872,2,937.5477128,2,917.8489219,3,2000
Maleny,1005.061923,5,990.4773434,6,993.9456315,4,1031.458467,8,3959
